film_title,audience_segment,rating_source,critic_like_score,popularity_index,sentiment_label,note
Red Sorghum,Mainstream audience,Demo composite,82.0,73,Positive,domestic
Raise the Red Lantern,Prestige-drama audience,Demo composite,85.0,71,Positive,festival
The Story of Qiu Ju,Prestige-drama audience,Demo composite,84.0,66,Positive,festival
Farewell My Concubine,Prestige-drama audience,Demo composite,90.0,86,Positive,international
Chungking Express,Mainstream audience,Demo composite,86.0,82,Positive,international
In the Heat of the Sun,Youth audience,Demo composite,83.0,63,Positive,domestic
Comrades: Almost a Love Story,Prestige-drama audience,Demo composite,85.0,74,Positive,international
The Godfather,Mainstream audience,Demo composite,92.0,95,Positive,classic
Star Wars: A New Hope,Action franchise audience,Demo composite,86.0,99,Positive,franchise
Jaws,Action franchise audience,Demo composite,81.0,93,Positive,classic
Taxi Driver,Mainstream audience,Demo composite,82.0,88,Positive,classic
The Killer,Action franchise audience,Demo composite,78.0,69,Positive,international
Eat Drink Man Woman,Prestige-drama audience,Demo composite,79.0,68,Positive,international
"Crouching Tiger, Hidden Dragon",Action franchise audience,Demo composite,78.0,96,Positive,cross-cultural
Hero,Action franchise audience,Demo composite,79.0,90,Positive,cross-cultural
House of Flying Daggers,Action franchise audience,Demo composite,76.0,78,Positive,international
The Grandmaster,Prestige-drama audience,Demo composite,66.0,72,Mixed,international
The Wild Goose Lake,Mainstream audience,Demo composite,72.0,58,Mixed,festival
Still Life,Prestige-drama audience,Demo composite,80.0,64,Positive,festival
A Touch of Sin,Prestige-drama audience,Demo composite,75.0,61,Positive,festival
Ash Is Purest White,Prestige-drama audience,Demo composite,69.0,54,Mixed,festival
Aftershock,Mainstream audience,Demo composite,76.0,67,Positive,domestic
Back to 1942,Mainstream audience,Demo composite,69.0,52,Mixed,domestic
Let the Bullets Fly,Action franchise audience,Demo composite,72.0,70,Positive,domestic
The Hidden Man,Action franchise audience,Demo composite,64.0,55,Mixed,domestic
Suzhou River,Mainstream audience,Demo composite,78.0,56,Positive,festival
Summer Palace,Prestige-drama audience,Demo composite,74.0,53,Positive,festival
Mystery,Prestige-drama audience,Demo composite,71.0,47,Mixed,festival
Long Day's Journey into Night,Prestige-drama audience,Demo composite,72.0,52,Mixed,festival
The World,Prestige-drama audience,Demo composite,74.0,43,Positive,festival
The Promise,Action franchise audience,Demo composite,56.0,49,Mixed,international
The Warlords,Prestige-drama audience,Demo composite,70.0,66,Positive,international
Dearest,Mainstream audience,Demo composite,77.0,61,Positive,domestic
